"Visitor arrival totals (Monthly)","","","",""
"","Actual Counts","Seasonally Adjusted","Trend","Counts Derived from a Sample"
"1984M05",34516,47580,47230,34516
"1984M06",31611,47690,47490,31611
"1984M07",35560,47510,47620,35560
"1984M08",39301,46320,47680,39301
"1984M09",37164,48350,47830,37164
"1984M10",47088,48960,48260,47088
"1984M11",56558,48680,49020,56558
"1984M12",85046,50380,50060,85046
"1985M01",57417,49470,51400,57417
"1985M02",63805,53150,52900,63805
"1985M03",63268,56270,54520,63268
"1985M04",52035,55080,56040,52035
"1985M05",40792,56930,57060,40792
"1985M06",39359,58760,57510,39359
"1985M07",39396,52480,57520,39396
"1985M08",49867,59470,57360,49867
"1985M09",42707,54540,57230,42707
"1985M10",54258,55670,57180,54258
"1985M11",71207,60180,57380,71207
"1985M12",95447,57230,57890,95447
"1986M01",67178,58440,58580,67178
"1986M02",69783,57510,59080,69783
"1986M03",67044,60330,59250,67044
"1986M04",57089,61360,59090,57089
"1986M05",41080,58350,58800,41080
"1986M06",39461,57970,58580,39461
"1986M07",43041,56600,58700,43041
"1986M08",50437,60650,59430,50437
"1986M09",48836,60710,60950,48836
"1986M10",60612,61440,62970,60612
"1986M11",79483,66460,64910,79483
"1986M12",109380,66590,66400,109380
"1987M01",77730,67590,67360,77730
"1987M02",85908,70670,67810,85908
"1987M03",70152,64110,67950,70152
"1987M04",62820,68340,67950,62820
"1987M05",48180,69580,68170,48180
"1987M06",47103,68250,69010,47103
"1987M07",54048,69520,70410,54048
"1987M08",53600,64630,72100,53600
"1987M09",60240,72800,73590,60240
"1987M10",76776,77200,74500,76776
"1987M11",92300,77450,74550,92300
"1987M12",115456,71160,73620,115456
"1988M01",83545,72540,72080,83545
"1988M02",85689,70410,70770,85689
"1988M03",75735,69990,70140,75735
"1988M04",60824,66950,70330,60824
"1988M05",49761,72880,71310,49761
"1988M06",51344,73430,72560,51344
"1988M07",60480,75770,73680,60480
"1988M08",58320,70200,74280,58320
"1988M09",64920,76700,74150,64920
"1988M10",76208,76420,73500,76208
"1988M11",82082,69620,72730,82082
"1988M12",115984,72560,72020,115984
"1989M01",79794,69080,71470,79794
"1989M02",89451,73650,71300,89451
"1989M03",78354,72400,71620,78354
"1989M04",65079,71880,72650,65079
"1989M05",47862,70300,74100,47862
"1989M06",55107,78280,75570,55107
"1989M07",63010,76870,76730,63010
"1989M08",64889,78230,77520,64889
"1989M09",69817,81690,78020,69817
"1989M10",74272,74770,78220,74272
"1989M11",87350,75240,78500,87350
"1989M12",126093,79890,79190,126093
"1990M01",98232,85000,80250,98232
"1990M02",93600,76700,81220,93600
